Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623249298.710552,172.10.0.2:55456,,,4,10173
1623249298.729192,172.10.0.2:55456,,,5,13069
1623249298.745025,172.10.0.2:55456,,,6,15965
1623249298.762358,172.10.0.2:55456,,,7,18861
1623249298.777796,172.10.0.2:55456,,,8,24653
1623249298.794939,172.10.0.2:55456,,,8,24653
1623249298.810445,172.10.0.2:55456,,,9,27549
1623249298.827188,172.10.0.2:55456,,,10,33341
1623249298.842739,172.10.0.2:55456,,,10,33341
1623249298.859653,172.10.0.2:55456,,,11,36237
1623249298.875329,172.10.0.2:55456,,,12,42029
1623249298.893045,172.10.0.2:55456,,,12,42029
1623249298.908957,172.10.0.2:55456,,,13,44925
1623249298.926670,172.10.0.2:55456,,,14,50717
1623249298.942249,172.10.0.2:55456,,,15,53613
1623249298.959761,172.10.0.2:55456,,,15,53613
1623249298.975494,172.10.0.2:55456,,,16,59405
1623249298.993427,172.10.0.2:55456,,,17,62301
1623249299.009300,172.10.0.2:55456,,,17,62301
1623249299.027367,172.10.0.2:55456,,,18,68093
1623249299.043863,172.10.0.2:55456,,,19,70989
1623249299.061442,172.10.0.2:55456,,,19,70989
1623249299.078454,172.10.0.2:55456,,,20,76781
1623249299.094982,172.10.0.2:55456,,,21,79677
1623249299.110574,172.10.0.2:55456,,,22,85469
1623249299.126865,172.10.0.2:55456,,,22,85469
1623249299.142506,172.10.0.2:55456,,,23,88365
1623249299.160174,172.10.0.2:55456,,,24,94157
1623249299.177453,172.10.0.2:55456,,,24,94157
1623249299.193137,172.10.0.2:55456,,,25,97053
1623249299.209454,172.10.0.2:55456,,,26,102845
1623249299.226063,172.10.0.2:55456,,,26,102845
1623249299.242687,172.10.0.2:55456,,,27,105741
1623249299.258289,172.10.0.2:55456,,,28,111533
1623249299.275056,172.10.0.2:55456,,,28,111533
1623249299.290739,172.10.0.2:55456,,,29,114429
1623249299.308103,172.10.0.2:55456,,,30,120221
1623249299.323786,172.10.0.2:55456,,,30,120221
1623249299.341449,172.10.0.2:55456,,,31,123117
1623249299.357090,172.10.0.2:55456,,,32,128909
1623249299.374920,172.10.0.2:55456,,,32,128909
1623249299.390573,172.10.0.2:55456,,,33,131805
1623249299.408168,172.10.0.2:55456,,,34,137597
1623249299.424049,172.10.0.2:55456,,,34,137597
1623249299.441551,172.10.0.2:55456,,,35,140493
1623249299.457355,172.10.0.2:55456,,,36,146285
1623249299.475344,172.10.0.2:55456,,,36,146285
1623249299.490886,172.10.0.2:55456,,,37,149181
1623249299.508412,172.10.0.2:55456,,,38,154973
1623249299.524145,172.10.0.2:55456,,,39,157869
1623249299.541539,172.10.0.2:55456,,,39,157869
1623249299.557334,172.10.0.2:55456,,,40,163661
1623249299.575099,172.10.0.2:55456,,,41,166557
1623249299.592100,172.10.0.2:55456,,,41,166557
1623249299.609238,172.10.0.2:55456,,,42,172349
1623249299.628112,172.10.0.2:55456,,,43,175245
1623249299.643916,172.10.0.2:55456,,,44,181037
1623249299.661406,172.10.0.2:55456,,,44,181037
1623249299.677166,172.10.0.2:55456,,,45,183933
1623249299.695012,172.10.0.2:55456,,,46,189725
1623249299.710890,172.10.0.2:55456,,,46,189725
1623249299.727807,172.10.0.2:55456,,,47,192621
1623249299.743492,172.10.0.2:55456,,,48,198413
1623249299.760295,172.10.0.2:55456,,,48,198413
1623249299.776071,172.10.0.2:55456,,,49,201309
1623249299.793047,172.10.0.2:55456,,,50,207101
1623249299.808931,172.10.0.2:55456,,,50,207101
1623249299.826119,172.10.0.2:55456,,,51,209997
1623249299.841783,172.10.0.2:55456,,,52,215789
1623249299.859764,172.10.0.2:55456,,,52,215789
1623249299.875260,172.10.0.2:55456,,,53,218685
1623249299.893222,172.10.0.2:55456,,,54,224477
1623249299.908925,172.10.0.2:55456,,,54,224477
1623249299.926642,172.10.0.2:55456,,,55,227373
1623249299.942142,172.10.0.2:55456,,,56,233165
1623249299.959734,172.10.0.2:55456,,,57,236061
1623249299.975910,172.10.0.2:55456,,,57,236061
1623249299.993271,172.10.0.2:55456,,,58,241853
1623249300.010967,172.10.0.2:55456,,,59,244749
1623249300.027262,172.10.0.2:55456,,,59,244749
1623249300.044547,172.10.0.2:55456,,,60,250541
1623249300.061209,172.10.0.2:55456,,,61,253437
1623249300.077052,172.10.0.2:55456,,,61,253437
1623249300.094242,172.10.0.2:55456,,,62,259229
1623249300.112592,172.10.0.2:55456,,,63,263573
1623249300.128501,172.10.0.2:55456,,,64,266469
1623249300.146281,172.10.0.2:55456,,,64,266469
1623249300.162031,172.10.0.2:55456,,,65,272261
1623249300.179562,172.10.0.2:55456,,,66,275157
1623249300.195126,172.10.0.2:55456,,,66,275157
1623249300.213216,172.10.0.2:55456,,,67,280949
1623249300.228908,172.10.0.2:55456,,,68,283845
1623249300.247298,172.10.0.2:55456,,,68,283845
1623249300.262789,172.10.0.2:55456,,,69,289637
1623249300.280094,172.10.0.2:55456,,,70,292533
1623249300.296002,172.10.0.2:55456,,,70,292533
1623249300.313913,172.10.0.2:55456,,,71,298325
1623249300.329611,172.10.0.2:55456,,,72,302669
1623249300.347895,172.10.0.2:55456,,,73,305565
1623249300.364545,172.10.0.2:55456,,,73,305565
1623249300.382190,172.10.0.2:55456,,,74,311357
1623249300.399173,172.10.0.2:55456,,,75,314253
1623249300.415790,172.10.0.2:55456,,,75,314253
1623249300.431807,172.10.0.2:55456,,,76,320045
1623249300.449153,172.10.0.2:55456,,,77,322941
1623249300.466545,172.10.0.2:55456,,,77,322941
1623249300.482128,172.10.0.2:55456,,,78,328733
1623249300.499422,172.10.0.2:55456,,,79,331629
1623249300.515190,172.10.0.2:55456,,,80,337421
1623249300.532729,172.10.0.2:55456,,,80,337421
1623249300.548822,172.10.0.2:55456,,,81,341765
1623249300.566518,172.10.0.2:55456,,,82,344661
1623249300.582286,172.10.0.2:55456,,,82,344661
1623249300.599793,172.10.0.2:55456,,,83,350453
1623249300.615520,172.10.0.2:55456,,,84,353349
1623249300.633307,172.10.0.2:55456,,,84,353349
1623249300.649016,172.10.0.2:55456,,,85,359141
1623249300.666468,172.10.0.2:55456,,,86,362037
1623249300.682273,172.10.0.2:55456,,,86,362037
1623249300.699936,172.10.0.2:55456,,,87,367829
