Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623238508.385052,172.10.0.2:54868,,,15,24653
1623238508.401196,172.10.0.2:54868,,,15,28997
1623238508.417432,172.10.0.2:54868,,,15,28997
1623238508.434195,172.10.0.2:54868,,,20,37685
1623238508.450153,172.10.0.2:54868,,,20,37685
1623238508.467360,172.10.0.2:54868,,,20,37685
1623238508.484162,172.10.0.2:54868,,,20,37685
1623238508.499994,172.10.0.2:54868,,,27,63749
1623238508.517000,172.10.0.2:54868,,,27,63749
1623238508.532728,172.10.0.2:54868,,,27,63749
1623238508.549270,172.10.0.2:54868,,,27,63749
1623238508.565068,172.10.0.2:54868,,,27,63749
1623238508.581834,172.10.0.2:54868,,,30,72437
1623238508.597401,172.10.0.2:54868,,,30,72437
1623238508.613225,172.10.0.2:54868,,,36,89813
1623238508.629597,172.10.0.2:54868,,,36,89813
1623238508.646361,172.10.0.2:54868,,,36,89813
1623238508.661916,172.10.0.2:54868,,,36,89813
1623238508.678457,172.10.0.2:54868,,,38,95605
1623238508.693899,172.10.0.2:54868,,,38,95605
1623238508.711014,172.10.0.2:54868,,,40,101397
1623238508.726607,172.10.0.2:54868,,,42,107189
1623238508.742687,172.10.0.2:54868,,,42,107189
1623238508.758025,172.10.0.2:54868,,,44,112981
1623238508.774532,172.10.0.2:54868,,,44,112981
1623238508.790055,172.10.0.2:54868,,,46,118773
1623238508.806717,172.10.0.2:54868,,,48,124565
1623238508.822328,172.10.0.2:54868,,,48,124565
1623238508.838476,172.10.0.2:54868,,,50,130357
1623238508.853891,172.10.0.2:54868,,,52,136149
1623238508.870630,172.10.0.2:54868,,,52,136149
1623238508.886141,172.10.0.2:54868,,,54,141941
1623238508.903058,172.10.0.2:54868,,,56,147733
1623238508.918700,172.10.0.2:54868,,,56,147733
1623238508.935090,172.10.0.2:54868,,,58,153525
1623238508.950745,172.10.0.2:54868,,,60,159317
1623238508.966996,172.10.0.2:54868,,,60,159317
1623238508.982666,172.10.0.2:54868,,,62,165109
1623238508.999300,172.10.0.2:54868,,,64,170901
1623238509.015737,172.10.0.2:54868,,,64,170901
1623238509.032109,172.10.0.2:54868,,,66,176693
1623238509.047890,172.10.0.2:54868,,,68,182485
1623238509.064198,172.10.0.2:54868,,,68,182485
1623238509.080218,172.10.0.2:54868,,,70,188277
1623238509.096684,172.10.0.2:54868,,,72,194069
1623238509.113131,172.10.0.2:54868,,,72,194069
1623238509.129814,172.10.0.2:54868,,,74,199861
1623238509.145621,172.10.0.2:54868,,,76,205653
1623238509.162110,172.10.0.2:54868,,,76,205653
1623238509.179009,172.10.0.2:54868,,,78,211445
1623238509.194521,172.10.0.2:54868,,,80,217237
1623238509.211042,172.10.0.2:54868,,,82,223029
1623238509.226495,172.10.0.2:54868,,,82,223029
1623238509.242120,172.10.0.2:54868,,,84,228821
1623238509.258329,172.10.0.2:54868,,,84,228821
1623238509.274523,172.10.0.2:54868,,,86,234613
1623238509.290076,172.10.0.2:54868,,,88,240405
1623238509.306471,172.10.0.2:54868,,,88,240405
1623238509.321923,172.10.0.2:54868,,,90,246197
1623238509.338604,172.10.0.2:54868,,,92,251989
1623238509.354095,172.10.0.2:54868,,,92,251989
1623238509.371366,172.10.0.2:54868,,,94,257781
1623238509.386849,172.10.0.2:54868,,,96,263573
1623238509.402752,172.10.0.2:54868,,,96,263573
1623238509.418840,172.10.0.2:54868,,,98,269365
1623238509.434834,172.10.0.2:54868,,,100,275157
1623238509.450388,172.10.0.2:54868,,,100,275157
1623238509.466748,172.10.0.2:54868,,,102,280949
1623238509.482288,172.10.0.2:54868,,,104,286741
1623238509.498993,172.10.0.2:54868,,,104,286741
1623238509.514552,172.10.0.2:54868,,,106,292533
1623238509.531113,172.10.0.2:54868,,,108,298325
1623238509.546766,172.10.0.2:54868,,,108,298325
1623238509.562474,172.10.0.2:54868,,,110,304117
1623238509.578430,172.10.0.2:54868,,,112,309909
1623238509.594600,172.10.0.2:54868,,,112,309909
1623238509.609970,172.10.0.2:54868,,,114,315701
1623238509.626488,172.10.0.2:54868,,,116,321493
1623238509.642015,172.10.0.2:54868,,,116,321493
1623238509.658506,172.10.0.2:54868,,,118,327285
1623238509.674164,172.10.0.2:54868,,,120,333077
1623238509.690584,172.10.0.2:54868,,,120,333077
1623238509.706121,172.10.0.2:54868,,,122,338869
1623238509.721983,172.10.0.2:54868,,,124,344661
1623238509.738300,172.10.0.2:54868,,,124,344661
1623238509.755318,172.10.0.2:54868,,,126,350453
1623238509.770798,172.10.0.2:54868,,,128,356245
1623238509.787250,172.10.0.2:54868,,,128,356245
1623238509.803373,172.10.0.2:54868,,,130,362037
1623238509.819717,172.10.0.2:54868,,,132,367829
1623238509.835472,172.10.0.2:54868,,,132,367829
1623238509.852642,172.10.0.2:54868,,,134,373621
1623238509.868233,172.10.0.2:54868,,,136,379413
1623238509.884609,172.10.0.2:54868,,,136,379413
1623238509.900238,172.10.0.2:54868,,,138,385205
1623238509.916978,172.10.0.2:54868,1,1,135,69
1623238509.932519,172.10.0.2:54868,1,1,135,69
1623238509.948681,172.10.0.2:54868,2,2,132,69
1623238509.964363,172.10.0.2:54868,3,3,129,69
