Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623249164.084887,172.10.0.2:55450,,,15,24653
1623249164.101729,172.10.0.2:55450,,,15,28997
1623249164.119849,172.10.0.2:55450,,,15,28997
1623249164.135571,172.10.0.2:55450,,,20,43477
1623249164.153333,172.10.0.2:55450,,,20,43477
1623249164.169678,172.10.0.2:55450,,,20,43477
1623249164.187807,172.10.0.2:55450,,,27,63749
1623249164.203427,172.10.0.2:55450,,,27,63749
1623249164.220550,172.10.0.2:55450,,,27,63749
1623249164.236609,172.10.0.2:55450,,,27,63749
1623249164.253416,172.10.0.2:55450,,,27,63749
1623249164.269280,172.10.0.2:55450,,,30,72437
1623249164.286934,172.10.0.2:55450,,,30,72437
1623249164.302524,172.10.0.2:55450,,,30,72437
1623249164.320038,172.10.0.2:55450,,,35,86917
1623249164.337312,172.10.0.2:55450,,,35,86917
1623249164.353732,172.10.0.2:55450,,,35,86917
1623249164.371287,172.10.0.2:55450,,,40,101397
1623249164.387087,172.10.0.2:55450,,,40,101397
1623249164.404590,172.10.0.2:55450,,,40,101397
1623249164.420584,172.10.0.2:55450,,,40,101397
1623249164.437915,172.10.0.2:55450,,,2,1
1623249164.453634,172.10.0.2:55450,,,2,1
1623249164.471533,172.10.0.2:55450,,,2,1
1623249164.487016,172.10.0.2:55450,,,2,1
1623249164.503005,172.10.0.2:55450,,,2,1
1623249164.519284,172.10.0.2:55450,,,2,1
1623249164.536148,172.10.0.2:55450,,,2,1
1623249164.552039,172.10.0.2:55450,,,2,1
1623249164.569751,172.10.0.2:55450,,,2,1
1623249164.585597,172.10.0.2:55450,,,2,1
1623249164.603293,172.10.0.2:55450,,,2,1
1623249164.618998,172.10.0.2:55450,,,2,1
1623249164.636552,172.10.0.2:55450,,,2,1
1623249164.654547,172.10.0.2:55450,,,2,1
1623249164.670194,172.10.0.2:55450,,,2,1
1623249164.687663,172.10.0.2:55450,,,2,1
1623249164.703259,172.10.0.2:55450,,,2,1
1623249164.720222,172.10.0.2:55450,,,2,1
1623249164.735963,172.10.0.2:55450,,,2,1
1623249164.752593,172.10.0.2:55450,,,2,1
1623249164.768214,172.10.0.2:55450,,,2,1
1623249164.784759,172.10.0.2:55450,,,2,1
1623249164.800435,172.10.0.2:55450,,,2,1
1623249164.816945,172.10.0.2:55450,,,2,1
1623249164.832764,172.10.0.2:55450,,,2,1
1623249164.850111,172.10.0.2:55450,,,2,1
1623249164.865639,172.10.0.2:55450,,,2,1
1623249164.883002,172.10.0.2:55450,,,2,1
1623249164.898609,172.10.0.2:55450,,,2,1
1623249164.916763,172.10.0.2:55450,,,2,1
1623249164.932796,172.10.0.2:55450,,,2,1
1623249164.950359,172.10.0.2:55450,,,3,1
1623249164.966616,172.10.0.2:55450,,,3,1
1623249164.983420,172.10.0.2:55450,,,3,1
1623249164.999725,172.10.0.2:55450,,,3,1
1623249165.017647,172.10.0.2:55450,,,4,1
1623249165.035364,172.10.0.2:55450,,,4,1
1623249165.051009,172.10.0.2:55450,,,4,1
1623249165.068519,172.10.0.2:55450,,,4,1
1623249165.084308,172.10.0.2:55450,,,5,1
1623249165.100831,172.10.0.2:55450,,,5,1
1623249165.116564,172.10.0.2:55450,,,6,1
1623249165.133023,172.10.0.2:55450,,,6,1
1623249165.148820,172.10.0.2:55450,,,6,1
1623249165.166190,172.10.0.2:55450,,,6,1
1623249165.181976,172.10.0.2:55450,,,6,1
1623249165.199630,172.10.0.2:55450,,,6,1
1623249165.215497,172.10.0.2:55450,,,6,1
1623249165.233199,172.10.0.2:55450,,,6,1
1623249165.249038,172.10.0.2:55450,,,5,3
1623249165.266302,172.10.0.2:55450,,,5,3
1623249165.282063,172.10.0.2:55450,,,5,3
1623249165.298891,172.10.0.2:55450,,,5,3
1623249165.315305,172.10.0.2:55450,,,5,3
1623249165.333647,172.10.0.2:55450,,,4,3
1623249165.351297,172.10.0.2:55450,,,4,3
1623249165.367005,172.10.0.2:55450,,,4,3
1623249165.384566,172.10.0.2:55450,,,5,3
1623249165.400222,172.10.0.2:55450,,,5,3
1623249165.418208,172.10.0.2:55450,,,5,3
1623249165.433929,172.10.0.2:55450,,,5,3
1623249165.451739,172.10.0.2:55450,,,5,3
1623249165.467631,172.10.0.2:55450,,,5,3
1623249165.485403,172.10.0.2:55450,,,5,3
1623249165.501323,172.10.0.2:55450,,,5,3
1623249165.519128,172.10.0.2:55450,,,5,3
1623249165.536689,172.10.0.2:55450,,,5,3
1623249165.552617,172.10.0.2:55450,,,6,3
1623249165.569995,172.10.0.2:55450,,,6,3
1623249165.585646,172.10.0.2:55450,,,6,3
1623249165.603470,172.10.0.2:55450,,,6,3
1623249165.619108,172.10.0.2:55450,,,6,3
1623249165.636690,172.10.0.2:55450,,,6,3
1623249165.652303,172.10.0.2:55450,,,6,3
1623249165.669874,172.10.0.2:55450,,,5,3
1623249165.685660,172.10.0.2:55450,,,5,3
1623249165.702991,172.10.0.2:55450,,,5,3
1623249165.718705,172.10.0.2:55450,,,5,3
1623249165.736138,172.10.0.2:55450,,,5,3
1623249165.751633,172.10.0.2:55450,,,4,3
1623249165.769603,172.10.0.2:55450,,,4,3
1623249165.785307,172.10.0.2:55450,,,4,3
1623249165.802914,172.10.0.2:55450,,,5,3
1623249165.820832,172.10.0.2:55450,,,5,3
1623249165.836792,172.10.0.2:55450,,,5,3
1623249165.855320,172.10.0.2:55450,,,5,3
1623249165.871055,172.10.0.2:55450,,,5,3
1623249165.889489,172.10.0.2:55450,,,5,3
1623249165.905075,172.10.0.2:55450,,,6,3
1623249165.923868,172.10.0.2:55450,,,6,3
1623249165.939755,172.10.0.2:55450,,,6,3
1623249165.957215,172.10.0.2:55450,,,6,3
1623249165.973021,172.10.0.2:55450,,,6,3
1623249165.990979,172.10.0.2:55450,,,6,3
1623249166.006613,172.10.0.2:55450,,,6,3
1623249166.022978,172.10.0.2:55450,,,6,3
1623249166.038424,172.10.0.2:55450,,,5,3
1623249166.055036,172.10.0.2:55450,,,5,3
1623249166.070789,172.10.0.2:55450,,,5,3
1623249166.088256,172.10.0.2:55450,,,6,3
1623249166.104957,172.10.0.2:55450,,,6,3
1623249166.121938,172.10.0.2:55450,,,6,3
1623249166.138456,172.10.0.2:55450,,,6,3
1623249166.155212,172.10.0.2:55450,,,6,3
1623249166.172435,172.10.0.2:55450,,,6,3
1623249166.189319,172.10.0.2:55450,,,6,3
1623249166.207611,172.10.0.2:55450,,,6,3
1623249166.223473,172.10.0.2:55450,,,5,3
1623249166.241331,172.10.0.2:55450,,,5,3
1623249166.257037,172.10.0.2:55450,,,5,3
1623249166.275255,172.10.0.2:55450,,,5,3
1623249166.290872,172.10.0.2:55450,,,5,3
1623249166.308390,172.10.0.2:55450,,,4,3
1623249166.324066,172.10.0.2:55450,,,4,3
1623249166.340725,172.10.0.2:55450,,,5,3
1623249166.356704,172.10.0.2:55450,,,5,3
1623249166.373547,172.10.0.2:55450,,,5,3
1623249166.389966,172.10.0.2:55450,,,5,3
1623249166.407446,172.10.0.2:55450,,,5,3
1623249166.424941,172.10.0.2:55450,,,5,3
1623249166.440710,172.10.0.2:55450,,,5,3
1623249166.458004,172.10.0.2:55450,,,5,3
1623249166.473789,172.10.0.2:55450,,,5,3
1623249166.491029,172.10.0.2:55450,,,5,3
1623249166.506669,172.10.0.2:55450,,,6,3
1623249166.523822,172.10.0.2:55450,,,6,3
1623249166.539540,172.10.0.2:55450,,,6,3
1623249166.557828,172.10.0.2:55450,,,6,3
1623249166.573319,172.10.0.2:55450,,,6,3
1623249166.590645,172.10.0.2:55450,,,6,3
1623249166.606068,172.10.0.2:55450,,,6,3
1623249166.623845,172.10.0.2:55450,,,6,3
1623249166.639450,172.10.0.2:55450,,,5,3
1623249166.656195,172.10.0.2:55450,,,5,3
1623249166.672166,172.10.0.2:55450,,,5,3
1623249166.689436,172.10.0.2:55450,,,5,3
1623249166.705214,172.10.0.2:55450,,,5,3
1623249166.722276,172.10.0.2:55450,,,4,3
1623249166.738123,172.10.0.2:55450,,,4,3
1623249166.755322,172.10.0.2:55450,,,4,3
1623249166.773101,172.10.0.2:55450,,,5,3
1623249166.789275,172.10.0.2:55450,,,5,3
1623249166.806610,172.10.0.2:55450,,,5,3
1623249166.822223,172.10.0.2:55450,,,5,3
1623249166.839294,172.10.0.2:55450,,,5,3
1623249166.854919,172.10.0.2:55450,,,5,3
1623249166.871859,172.10.0.2:55450,,,5,3
1623249166.887554,172.10.0.2:55450,,,6,3
1623249166.905243,172.10.0.2:55450,,,6,3
1623249166.921137,172.10.0.2:55450,,,6,3
1623249166.939079,172.10.0.2:55450,,,6,3
1623249166.954528,172.10.0.2:55450,,,6,3
1623249166.972282,172.10.0.2:55450,,,6,3
1623249166.988010,172.10.0.2:55450,,,6,3
1623249167.005551,172.10.0.2:55450,,,5,3
1623249167.021271,172.10.0.2:55450,,,5,3
1623249167.038242,172.10.0.2:55450,,,5,3
1623249167.054808,172.10.0.2:55450,,,5,3
1623249167.072906,172.10.0.2:55450,,,5,3
1623249167.090717,172.10.0.2:55450,,,4,3
1623249167.106886,172.10.0.2:55450,,,4,3
1623249167.124291,172.10.0.2:55450,,,4,3
1623249167.140080,172.10.0.2:55450,,,5,3
1623249167.157311,172.10.0.2:55450,,,5,3
