Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1623160271.307866,172.10.0.2:55682,,,15,24653
1623160271.323880,172.10.0.2:55682,,,15,28997
1623160271.339598,172.10.0.2:55682,,,15,28997
1623160271.355078,172.10.0.2:55682,,,15,28997
1623160271.371512,172.10.0.2:55682,,,20,43477
1623160271.388805,172.10.0.2:55682,,,20,43477
1623160271.404347,172.10.0.2:55682,,,20,43477
1623160271.419911,172.10.0.2:55682,,,27,63749
1623160271.435490,172.10.0.2:55682,,,27,63749
1623160271.451145,172.10.0.2:55682,,,27,63749
1623160271.466828,172.10.0.2:55682,,,27,63749
1623160271.482622,172.10.0.2:55682,,,27,63749
1623160271.498363,172.10.0.2:55682,,,27,63749
1623160271.514025,172.10.0.2:55682,,,30,72437
1623160271.529839,172.10.0.2:55682,,,30,72437
1623160271.545440,172.10.0.2:55682,,,35,86917
1623160271.561111,172.10.0.2:55682,,,35,86917
1623160271.576637,172.10.0.2:55682,,,35,86917
1623160271.592124,172.10.0.2:55682,,,35,86917
1623160271.607532,172.10.0.2:55682,,,40,101397
1623160271.623212,172.10.0.2:55682,,,40,101397
1623160271.638943,172.10.0.2:55682,,,40,101397
1623160271.655092,172.10.0.2:55682,,,40,101397
1623160271.670796,172.10.0.2:55682,,,42,107189
1623160271.686485,172.10.0.2:55682,,,44,112981
1623160271.702952,172.10.0.2:55682,,,44,112981
1623160271.718601,172.10.0.2:55682,,,46,118773
1623160271.734412,172.10.0.2:55682,,,48,124565
1623160271.750057,172.10.0.2:55682,,,48,124565
1623160271.766014,172.10.0.2:55682,,,50,130357
1623160271.781699,172.10.0.2:55682,,,50,130357
1623160271.797352,172.10.0.2:55682,,,52,136149
1623160271.812895,172.10.0.2:55682,,,54,141941
1623160271.828530,172.10.0.2:55682,,,54,141941
1623160271.844081,172.10.0.2:55682,,,56,147733
1623160271.859677,172.10.0.2:55682,,,58,153525
1623160271.875614,172.10.0.2:55682,,,58,153525
1623160271.891326,172.10.0.2:55682,,,60,159317
1623160271.907348,172.10.0.2:55682,,,62,165109
1623160271.922981,172.10.0.2:55682,,,62,165109
1623160271.938792,172.10.0.2:55682,,,64,170901
1623160271.954531,172.10.0.2:55682,,,66,176693
1623160271.970360,172.10.0.2:55682,,,66,176693
1623160271.986454,172.10.0.2:55682,,,68,182485
1623160272.002184,172.10.0.2:55682,,,70,188277
1623160272.018087,172.10.0.2:55682,,,70,188277
1623160272.033751,172.10.0.2:55682,,,72,194069
1623160272.049472,172.10.0.2:55682,,,74,199861
1623160272.065151,172.10.0.2:55682,,,74,199861
1623160272.080815,172.10.0.2:55682,,,76,205653
1623160272.096387,172.10.0.2:55682,,,76,205653
1623160272.112201,172.10.0.2:55682,,,78,211445
1623160272.127843,172.10.0.2:55682,,,80,217237
1623160272.143837,172.10.0.2:55682,,,80,217237
1623160272.159705,172.10.0.2:55682,,,82,223029
1623160272.175278,172.10.0.2:55682,,,84,228821
1623160272.191074,172.10.0.2:55682,,,84,228821
1623160272.206756,172.10.0.2:55682,,,86,234613
1623160272.222789,172.10.0.2:55682,,,88,240405
1623160272.238442,172.10.0.2:55682,,,88,240405
1623160272.254175,172.10.0.2:55682,,,90,246197
1623160272.269920,172.10.0.2:55682,,,92,251989
1623160272.285741,172.10.0.2:55682,,,92,251989
1623160272.301892,172.10.0.2:55682,,,94,257781
1623160272.317595,172.10.0.2:55682,,,96,263573
1623160272.333514,172.10.0.2:55682,,,96,263573
1623160272.349099,172.10.0.2:55682,,,98,269365
1623160272.364787,172.10.0.2:55682,,,100,275157
1623160272.380235,172.10.0.2:55682,,,100,275157
1623160272.395773,172.10.0.2:55682,,,102,280949
1623160272.411315,172.10.0.2:55682,,,102,280949
1623160272.427096,172.10.0.2:55682,,,104,286741
1623160272.442829,172.10.0.2:55682,,,106,292533
1623160272.458524,172.10.0.2:55682,,,106,292533
1623160272.474354,172.10.0.2:55682,,,108,298325
1623160272.490164,172.10.0.2:55682,,,110,302669
1623160272.506012,172.10.0.2:55682,,,110,302669
1623160272.521735,172.10.0.2:55682,,,112,308461
1623160272.537521,172.10.0.2:55682,,,114,314253
1623160272.553591,172.10.0.2:55682,,,114,314253
1623160272.569142,172.10.0.2:55682,,,116,320045
1623160272.584973,172.10.0.2:55682,,,118,325837
1623160272.600425,172.10.0.2:55682,,,118,325837
1623160272.615935,172.10.0.2:55682,,,120,331629
1623160272.631522,172.10.0.2:55682,,,122,337421
1623160272.647165,172.10.0.2:55682,,,122,337421
1623160272.662606,172.10.0.2:55682,,,124,343213
1623160272.678121,172.10.0.2:55682,,,124,343213
1623160272.693816,172.10.0.2:55682,,,126,349005
1623160272.709508,172.10.0.2:55682,,,128,354797
1623160272.725513,172.10.0.2:55682,,,128,354797
1623160272.741945,172.10.0.2:55682,,,130,360589
1623160272.757566,172.10.0.2:55682,,,132,367829
1623160272.773738,172.10.0.2:55682,,,132,367829
1623160272.789514,172.10.0.2:55682,,,134,373621
1623160272.806186,172.10.0.2:55682,,,136,379413
1623160272.822095,172.10.0.2:55682,,,136,379413
1623160272.839059,172.10.0.2:55682,,,138,385205
1623160272.854898,172.10.0.2:55682,1,1,135,69
1623160272.870760,172.10.0.2:55682,1,1,135,69
1623160272.886412,172.10.0.2:55682,2,2,132,69
1623160272.902699,172.10.0.2:55682,3,3,129,69
