Date & Time,use [kW],gen [kW],ElectricRange [kW],Dryer [kW],GarageMudroomLights [kW],DiningRoomOutlets [kW],MudroomOutlets [kW],MasterBathOutlets [kW],GarageOutlets [kW],BasementOutdoorOutlets [kW]
2014-01-01 00:00:00,0.0,0.0,0.002882778,0.005231111,0.013155,0.0,0.0,0.0,0.0,0.0
2014-01-01 00:30:00,0.0,0.0,0.003022222,0.005440556,0.012962222,0.0,0.0,0.0,0.0,0.0
2014-01-01 01:00:00,0.0,0.0,0.002978889,0.005293333,0.013107222,0.0,0.0,0.0,0.0,0.0
2014-01-01 01:30:00,0.0,0.0,0.002955,0.005316667,0.012978333,0.0,0.0,0.0,0.0,0.0
2014-01-01 02:00:00,0.0,0.0,0.003058889,0.005367778,0.012885556,0.0,0.0,0.0,0.0,0.0
2014-01-01 02:30:00,0.0,0.0,0.002941667,0.005269444,0.012904444,0.0,0.0,0.0,0.0,0.0
2014-01-01 03:00:00,0.0,0.0,0.003173889,0.005527222,0.012924444,0.0,0.0,0.0,0.0,0.0
2014-01-01 03:30:00,0.0,0.0,0.002876667,0.005211667,0.013025,0.0,0.0,0.0,0.0,0.0
2014-01-01 04:00:00,0.0,0.0,0.003257778,0.00563,0.012991667,0.0,0.0,0.0,0.0,0.0
2014-01-01 04:30:00,0.0,0.0,0.002816667,0.005183333,0.013129444,0.0,0.0,0.0,0.0,0.0
2014-01-01 05:00:00,0.0,0.0,0.003370556,0.005788333,0.013091667,0.0,0.0,0.0,0.0,0.0
2014-01-01 05:30:00,0.0,0.0,0.002689444,0.005028333,0.013102778,0.0,0.0,0.0,0.0,0.0
2014-01-01 06:00:00,0.0,0.0,0.003430556,0.005817222,0.013096111,0.0,0.0,0.0,0.0,0.0
2014-01-01 06:30:00,0.0,0.0,0.002414444,0.00472,0.013173889,0.0,0.0,0.0,0.0,0.0
2014-01-01 07:00:00,0.0,0.0,0.003361667,0.005726667,0.012995556,0.0,0.0,0.0,0.0,0.0
2014-01-01 07:30:00,0.0,0.0,0.002376111,0.004653333,0.013063889,0.0,0.0,0.0,0.0,0.0
2014-01-01 08:00:00,0.0,0.0,0.059570556,0.006021667,0.012872778,0.0,0.0,0.0,0.0,0.0
2014-01-01 08:30:00,0.0,0.0,0.591583889,0.004693333,0.012866111,0.0,0.0,0.0,0.0,0.0
2014-01-01 09:00:00,0.0,0.0,0.003322222,0.005801667,0.012806667,0.0,0.0,0.0,0.0,0.0
2014-01-01 09:30:00,0.0,0.0,0.002251667,0.004413333,0.013003333,0.0,0.0,0.0,0.0,0.0
2014-01-01 10:00:00,0.0,0.0,0.003714444,0.006228333,0.012643889,0.0,0.0,0.0,0.0,0.0
2014-01-01 10:30:00,0.0,0.0,0.055473333,0.004703333,0.012868889,0.0,0.0,0.0,0.0,0.0
2014-01-01 11:00:00,0.0,0.0,0.005603889,0.008561667,0.012631111,0.0,0.0,0.0,0.0,0.0
2014-01-01 11:30:00,0.0,0.0,0.074778889,0.005841667,0.012775,0.0,0.0,0.0,0.0,0.0
2014-01-01 12:00:00,0.0,0.0,0.161990556,0.005875,0.012797222,0.0,0.0,0.0,0.0,0.0
2014-01-01 12:30:00,0.0,0.0,0.002466111,0.004725,0.013041667,0.0,0.0,0.0,0.0,0.0
2014-01-01 13:00:00,0.0,0.0,0.003551667,0.005973889,0.012642222,0.0,0.0,0.0,0.0,0.0
2014-01-01 13:30:00,0.0,0.0,0.054933333,0.004448333,0.012655,0.0,0.0,0.0,0.0,0.0
